Time,Node1,Node2,Node0,J0_Vmax,J0_Km1,J0_Keq,J0_Km2,J1_Vmax,J1_Km1,J1_Keq,J1_Km2,Node3,J2_Vmax,J2_Km1,J2_Keq,J2_Km2,J0,J1,J2
2.307692307692307,1.1698206142543328,0.1848112521678588,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8124988669517581,0.4942287054161134,0.44339314547446845
2.408026755852842,1.2013113983300738,0.18982605704016423,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8086640082185605,0.4991522144363553,0.4500102681473038
2.508361204013377,1.2319431306132813,0.1946756416201217,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8049422719609337,0.5038019882818374,0.45626143756630355
2.608695652173912,1.2617531613230297,0.1993688670974527,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8013284020077396,0.5082009994680028,0.4621772276681531
2.7090301003344472,1.2907762092340553,0.2039138839454797,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7978175230335798,0.5123696132219394,0.46778478836196796
2.8093645484949823,1.319044364943751,0.2083181373831116,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7944051335664394,0.5163259341262386,0.4731082362883869
2.9096989966555173,1.3465878152690698,0.21258856281133687,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.791087012682005,0.5200861588553018,0.47816921215211233
3.0100334448160524,1.3734347693842535,0.21673157554526334,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.787859224033524,0.5236648046028884,0.4829871294033814
3.1103678929765874,1.3996117482900134,0.22075314608606048,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7847180765478118,0.5270749370528284,0.4875794856301211
3.2107023411371225,1.4251436208581458,0.22465881356176956,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7816601161406738,0.5303283430115036,0.491962066404706
3.3110367892976575,1.4500537399597766,0.2284537144837774,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7786821057834431,0.5334356910151857,0.4961491400713333
3.4113712374581926,1.4743641193798125,0.23214263743297348,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7757810011157266,0.5364066659996414,0.5001536568949605
3.5117056856187276,1.4980955189855611,0.23573004388467028,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7729539374049061,0.5392500831836052,0.5039873896635876
3.6120401337792627,1.5212675905467472,0.23922013387871088,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7701982095807974,0.541973978470591,0.5076611050330982
3.7123745819397977,1.5438989828968892,0.24261684095740882,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7675112574252689,0.5445857095338198,0.511184644160532
3.812709030100333,1.566007401937109,0.24592386473378225,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.764890656369611,0.547092021085476,0.514567032284042
3.913043478260868,1.5876095062949571,0.24914466049770967,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7623341279157859,0.5494990913920936,0.517816534095977
4.013377926421403,1.608721460704647,0.2522825371930089,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7598394723963058,0.5518126400078102,0.5209408099975793
4.113712374581938,1.6293584766409102,0.2553405834011467,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7574046218297109,0.554037924226986,0.5239468907332249
4.214046822742474,1.6495349127059484,0.2583216898166746,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7550276264734488,0.5561797888426877,0.5268412456182754
4.314381270903009,1.6692648995290036,0.2612286752887721,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7527065799110554,0.5582427537663786,0.529629943222238
4.414715719063545,1.6885615348922194,0.26406412483496244,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.750439712680088,0.5602309780620751,0.5323185282201469
4.51505016722408,1.7074374537319543,0.26683051497529714,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7482253239870716,0.5621483314129249,0.5349121735034813
4.615384615384616,1.7259049380005909,0.26953024093581496,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7460617679117747,0.5639984245899571,0.5374157307700793
4.715719063545151,1.7439754067954538,0.27216548938583535,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7439475122211904,0.5657846018917709,0.5398336362081865
4.816053511705687,1.7616600614636617,0.27473840989643483,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7418810618940698,0.5675099942660147,0.5421700911769936
4.916387959866222,1.778969592360385,0.2772510341714485,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7398609927112376,0.5691775228587178,0.5444290056720963
5.016722408026758,1.7959141732622834,0.27970526515335137,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7378859511148469,0.570789918749421,0.5466140065405176
5.117056856187293,1.8125036882599401,0.2821029554723272,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7359546270546762,0.5723497406974585,0.5487285230895975
5.217391304347829,1.8287476073969475,0.2844458606521789,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7340657678780265,0.5738593874507439,0.5507757585528414
5.317725752508364,1.8446550104961044,0.2867356462754284,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7322181749450406,0.5753211101879144,0.5527587092466418
5.4180602006689,1.8602347253968474,0.2889739294744184,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7304106870269027,0.5767370271592862,0.5546802116680735
5.518394648829435,1.8754951966766644,0.2911622411526934,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.7286421950534482,0.5781091284531042,0.5565429196709036
