Time,comp,A
1.3316582914572865,8.994974874371863,3.7874097365654382
1.35678391959799,9.070351758793972,3.8837764276266906
1.3819095477386936,9.145728643216083,3.982595216230154
1.407035175879397,9.221105527638194,4.083928429547141
1.4321608040201006,9.296482412060305,4.187839868643617
1.4572864321608041,9.371859296482416,4.294395246910954
1.4824120603015076,9.447236180904525,4.403661848323583
1.5075376884422111,9.522613065326636,4.515708526396282
1.5326633165829147,9.597989949748747,4.630606075747719
1.5577889447236182,9.673366834170858,4.7484270833165
1.5829145728643217,9.74874371859297,4.869245868014865
1.6080402010050252,9.824120603015079,4.9931387446565285
1.6331658291457287,9.89949748743719,5.120183979453283
1.6582914572864322,9.9748743718593,5.25046172001221
1.6834170854271358,10.050251256281411,5.384054243308358
1.7085427135678393,10.125628140703522,5.521045961903238
1.7336683417085428,10.201005025125632,5.6615232635261545
1.7587939698492463,10.276381909547743,5.805574842737375
1.7839195979899498,10.351758793969854,5.953291760073807
1.8090452261306533,10.427135678391965,6.104767141547728
1.8341708542713568,10.502512562814076,6.26009660256845
1.8592964824120604,10.577889447236185,6.4193783592050995
1.8844221105527639,10.653266331658296,6.582712831892185
1.9095477386934674,10.728643216080407,6.750203108146443
1.934673366834171,10.804020100502518,6.921955101239626
1.9597989949748744,10.879396984924627,7.098077107932973
1.984924623115578,10.954773869346738,7.278680275085383
2.0100502512562817,11.03015075376885,7.4638788147733095
2.035175879396985,11.10552763819096,7.653789509014455
2.0603015075376887,11.180904522613071,7.848532190278215
2.085427135678392,11.256281407035182,8.0482300273615
2.1105527638190957,11.331658291457291,8.253008943552937
2.1356783919597992,11.407035175879402,8.462998134605813
2.1608040201005028,11.482412060301513,8.67833042932739
2.1859296482412063,11.557788944723622,8.89914160835052
2.21105527638191,11.633165829145733,9.12557096661499
2.2361809045226133,11.708542713567844,9.357761743792025
2.261306532663317,11.783919597989954,9.595860354589245
2.2864321608040203,11.859296482412065,9.840017001548206
2.311557788944724,11.934673366834176,10.090386102726278
2.3366834170854274,12.010050251256285,10.347125584644456
2.361809045226131,12.085427135678396,10.610397403997947
2.3869346733668344,12.160804020100505,10.88036801472201
2.412060301507538,12.236180904522616,11.15720777236516
2.4371859296482414,12.311557788944727,11.441091301785782
2.462311557788945,12.386934673366836,11.732198037184391
2.4874371859296485,12.462311557788947,12.03071173333856
2.512562814070352,12.537688442211058,12.336820675575744
2.5376884422110555,12.61306532663317,12.650718295470694
2.562814070351759,12.688442211055278,12.972602794312683
2.5879396984924625,12.76381909547739,13.30267718872559
2.613065326633166,12.8391959798995,13.641149999045584
2.6381909547738696,12.91457286432161,13.988234995816624
2.663316582914573,12.98994974874372,14.344151076915177
2.6884422110552766,13.06532663316583,14.709123046300213
2.71356783919598,13.14070351758794,15.083381480814475
2.7386934673366836,13.216080402010052,15.467162414835311
2.763819095477387,13.291457286432163,15.86070820258121
2.7889447236180906,13.366834170854272,16.264267517060823
2.814070351758794,13.442211055276383,16.678094873459937
2.8391959798994977,13.517587939698494,17.102451553101837
2.864321608040201,13.592964824120603,17.537605746319958
2.8894472361809047,13.668341708542714,17.98383188673217
2.9145728643216082,13.743718592964825,18.441411664017615
2.9396984924623117,13.819095477386934,18.910634316416115
2.9648241206030153,13.894472361809045,19.39179575706965
2.9899497487437188,13.969849246231156,19.885199683967425
3.0150753768844223,14.045226130653266,20.391158025673235
3.040201005025126,14.120603015075377,20.909989863241506
3.0653266331658293,14.195979899497488,21.44202262965643
3.090452261306533,14.271356783919597,21.98759271307473
3.1155778894472363,14.346733668341708,22.54704418035417
3.14070351758794,14.422110552763819,23.120730059666187
3.1658291457286434,14.497487437185928,23.709013109974467
3.190954773869347,14.572864321608039,24.312264340633565
