Time,Y,X,S,k1,k2,k3,k4,_J0,_J1,_J2,_J3
3.0100334448160524,0.8573221662767494,2.6611047697278543,1,8,1,1,1.5,6.858577330213995,7.081478595468337,2.2814241058724742,3.991657154591781
3.1103678929765874,0.88044117751808,2.6984479698273773,1,8,1,1,1.5,7.04352942014464,7.281621445865494,2.3758247080260886,4.047671954741066
3.2107023411371225,0.9051351907407592,2.7377711881311897,1,8,1,1,1.5,7.241081525926074,7.495391078561266,2.478053046573679,4.106656782196785
3.3110367892976575,0.9315099470633308,2.779151550772238,1,8,1,1,1.5,7.452079576506646,7.723683342159736,2.5888073139408214,4.168727326158358
3.4113712374581926,0.9596756342071462,2.8226630791199723,1,8,1,1,1.5,7.6774050736571695,7.967426858227043,2.7088409806075555,4.233994618679958
3.5117056856187276,0.9897477213867566,2.8683771282583668,1,8,1,1,1.5,7.917981771094053,8.227587349915716,2.838969726771607,4.30256569238755
3.6120401337792627,1.0218446127303884,2.9163588291954943,1,8,1,1,1.5,8.174756901843107,8.505148820626514,2.980065558402119,4.374538243793241
3.7123745819397977,1.0560892618895672,2.966668460921143,1,8,1,1,1.5,8.448714095116538,8.801121757024223,3.1330667051652683,4.450002691381714
3.812709030100333,1.0926050295286964,3.019356032934574,1,8,1,1,1.5,8.740840236229571,9.116510853618408,3.298963587522128,4.529034049401861
3.913043478260868,1.1315183248735947,3.074463615017657,1,8,1,1,1.5,9.052146598988758,9.45232652006744,3.4788119195495955,4.611695422526486
4.013377926421403,1.1729521524591202,3.1320186984684266,1,8,1,1,1.5,9.383617219672962,9.809541127555857,3.673708073910753,4.69802804770264
4.113712374581938,1.2170300777038958,3.192036709555756,1,8,1,1,1.5,9.736240621631167,10.189098355151536,3.8848046846643296,4.7880550643336335
4.214046822742474,1.2638678959788046,3.2545161304580184,1,8,1,1,1.5,10.110943167830436,10.591875243411433,4.1132784542310565,4.8817741956870275
4.314381270903009,1.313574907356173,3.3194361628270364,1,8,1,1,1.5,10.508599258849385,11.018656439083879,4.360328050060255,4.979154244240554
4.414715719063545,1.366250136436701,3.3867515417152076,1,8,1,1,1.5,10.930001091493608,11.470086005310336,4.62714975594561,5.080127312572811
4.51505016722408,1.4219769188074922,3.4563965598997077,1,8,1,1,1.5,11.375815350459938,11.946677179286533,4.914916130423002,5.184594839849561
4.615384615384616,1.480821304255836,3.5282792667829046,1,8,1,1,1.5,11.846570434046688,12.44875458441011,5.224751105616286,5.292418900174357
4.715719063545151,1.542826660995328,3.6022822556042353,1,8,1,1,1.5,12.342613287962624,12.976437449041137,5.557697104376602,5.403423383406353
4.816053511705687,1.6080110178944853,3.6782593140261346,1,8,1,1,1.5,12.864088143155882,13.52959158122001,5.914681503627036,5.5173889710392015
4.916387959866222,1.676362619367925,3.7560353022073234,1,8,1,1,1.5,13.4109009549434,14.10780119142766,6.296477177646665,5.634052953310985
5.016722408026758,1.7478353609166979,3.835406673661309,1,8,1,1,1.5,13.982682887333583,14.710344352365706,6.703659407721125,5.753110010491963
5.117056856187293,1.8223463600050254,3.9161421296811953,1,8,1,1,1.5,14.578770880040203,15.336169179863969,7.1365673552868545,5.8742131945217935
5.217391304347829,1.8997720727677319,3.9979835218859314,1,8,1,1,1.5,15.198176582141855,15.983872241271436,7.595257442264472,5.996975282828897
5.317725752508364,1.9799472420895534,4.080650459171656,1,8,1,1,1.5,15.839577936716427,16.651708169937844,8.079472622568389,6.1209756887574835
5.4180602006689,2.0626635704615968,4.163842020616,1,8,1,1,1.5,16.501308563692774,17.337580372647537,8.588605249081828,6.245763030924
5.518394648829435,2.147669440416443,4.2472413442106784,1,8,1,1,1.5,17.181355523331543,18.03905903597253,9.121670441034528,6.370862016316018
5.618729096989971,2.2346734383612334,4.3305215880451575,1,8,1,1,1.5,17.877387506889868,18.753417224525155,9.677301567054421,6.495782382067736
5.719063545150506,2.323345433943325,4.413349886166023,1,8,1,1,1.5,18.5867634715466,19.477657217721653,10.253736306418125,6.620024829249035
5.819397993311042,2.4133219594467117,4.495394153288327,1,8,1,1,1.5,19.306575675573693,20.208568593418875,10.848833426499077,6.7430912299324905
5.919732441471577,2.5042133453542577,4.576329250137945,1,8,1,1,1.5,20.03370676283406,20.94278940566813,11.460104780930486,6.864493875206918
6.020066889632113,2.595608030798919,4.655842015101749,1,8,1,1,1.5,20.76486424639135,21.676864869586716,12.084740924529122,6.9837630226526235
6.120401337792648,2.687082680610513,4.733637781335726,1,8,1,1,1.5,21.496661444884104,22.40732664488901,12.719676098510803,7.100456672003588
6.220735785953184,2.7782102835318607,4.809444378216882,1,8,1,1,1.5,22.225682268254886,23.13075522716197,13.361647829636636,7.214166567325323
6.321070234113719,2.868567269109677,4.883017165665743,1,8,1,1,1.5,22.948538152877415,23.843856640186306,14.007263215929456,7.324525748498615
6.421404682274255,2.95774389115171,4.954141745017255,1,8,1,1,1.5,23.66195112921368,24.543520429722612,14.653082482224459,7.431212617525882
6.52173913043479,3.045350510214368,5.0226356444301175,1,8,1,1,1.5,24.362804081714945,25.22686881669994,15.29568602238613,7.533953466645176
6.622073578595326,3.1310255567427245,5.088351495751164,1,8,1,1,1.5,25.048204453941796,25.891320944313108,15.931758574886963,7.632527243626746
6.722408026755861,3.2144409241383487,5.151175315260722,1,8,1,1,1.5,25.71552739310679,26.534607128551396,16.558148740785324,7.726762972891082
6.822742474916397,3.2953055122684902,5.211026336091318,1,8,1,1,1.5,26.362444098147922,27.154795475437304,17.171923809897994,7.816539504136976
6.923076923076932,3.373371073086934,5.267857337472657,1,8,1,1,1.5,26.98696858469547,27.750320927964513,17.770437559379015,7.901786006208986
7.023411371237468,3.448430981544422,5.32165018031606,1,8,1,1,1.5,27.587447852355375,28.319960641657953,18.35134335474336,7.98247527047409
7.123745819398003,3.5203213833192737,5.3724144099237705,1,8,1,1,1.5,28.16257106655419,28.862836591956576,18.912625327307246,8.058621614885656
7.224080267558539,3.588922927205325,5.420185488762376,1,8,1,1,1.5,28.7113834176426,29.37841073259024,19.452627970324894,8.130278233143564
7.324414715719074,3.6541551792409575,5.465021071893101,1,8,1,1,1.5,29.23324143392766,29.866455316235623,19.970035054519144,8.197531607839652
7.42474916387961,3.7159778793748064,5.50699197530384,1,8,1,1,1.5,29.72782303499845,30.326960616060887,20.46386036212364,8.260487962955759
7.525083612040145,3.7743862750985264,5.5461853758235895,1,8,1,1,1.5,30.19509020078821,30.76017222299945,20.93344596166072,8.319278063735384
7.625418060200681,3.829399679258885,5.582712476912476,1,8,1,1,1.5,30.63519743407108,31.166678599874228,21.378437368483212,8.374068715368713
7.725752508361216,3.881073183211518,5.616680723508606,1,8,1,1,1.5,31.048585465692145,31.547102349833153,21.798748934670318,8.425021085262909
7.826086956521752,3.9294853585942016,5.64820474523964,1,8,1,1,1.5,31.435882868753612,31.90221684414758,22.194537848761456,8.47230711785946
7.926421404682287,3.9747229349117212,5.677418618869823,1,8,1,1,1.5,31.79778347929377,32.233082173889734,22.566165995516716,8.516127928304735
8.026755852842822,4.016898174702182,5.7044451539848735,1,8,1,1,1.5,32.135185397617455,32.54069451482151,22.914175326730547,8.55666773097731
8.127090301003356,4.056137643467772,5.729404277937721,1,8,1,1,1.5,32.44910114774218,32.82607338005106,23.239252366388477,8.59410641690658
8.227424749163891,4.092572861097547,5.752424023677005,1,8,1,1,1.5,32.740582888780374,33.09038214817634,23.54221444482606,8.628636035515507
8.327759197324426,4.126346067171117,5.773623082026598,1,8,1,1,1.5,33.01076853736894,33.33472349331031,23.823966897848837,8.660434623039897
8.42809364548496,4.157603164681455,5.793117256216709,1,8,1,1,1.5,33.26082531745164,33.56020754427581,24.085482637817336,8.689675884325062
8.528428093645495,4.186479374560794,5.811033696129046,1,8,1,1,1.5,33.491834996486354,33.7681126175472,24.32777271372203,8.71655054419357
8.62876254180603,4.213113669266057,5.827487808980423,1,8,1,1,1.5,33.70490935412845,33.959614163815445,24.55186854549672,8.741231713470635
8.729096989966564,4.23764780523815,5.8425823236452885,1,8,1,1,1.5,33.9011824419052,34.13576820857238,24.758806160718667,8.763873485467933
8.829431438127099,4.260223306134098,5.856415464527699,1,8,1,1,1.5,34.08178644907279,34.297602093159185,24.949637652385057,8.784623196791548
8.929765886287633,4.280977349514032,5.8690774401728785,1,8,1,1,1.5,34.247818796112256,34.446069998746225,25.12538758392389,8.803616160259317
