Time,E,S1,ES,S2,k1,k2,k3,J0,J1,J2
5.217391304347829,3.8769046850055644,2.5249091600489533,1.1230953149944387,2.351995130321095,0.1,0.4,0.9,0.9788832151807252,0.940798052128438,1.010785783494995
5.317725752508364,3.8799969128769543,2.5212576041130554,1.1200030871230489,2.358738914128528,0.1,0.4,0.9,0.9782471720526202,0.9434955656514113,1.008002778410744
5.4180602006689,3.8828797850720065,2.517926256736721,1.1171202149279964,2.364953133701173,0.1,0.4,0.9,0.9776804962585041,0.9459812534804692,1.0054081934351968
5.518394648829435,3.8855649979172666,2.514887995277238,1.1144350020827363,2.370676608006807,0.1,0.4,0.9,0.977176076813156,0.9482706432027229,1.0029915018744626
5.618729096989971,3.888064017607145,2.512117988513027,1.1119359823928576,2.3759456344618672,0.1,0.4,0.9,0.9767275559121139,0.9503782537847469,1.0007423841535719
5.719063545150506,3.890387758472968,2.509593304561947,1.109612241527034,2.3807940592790096,0.1,0.4,0.9,0.9763291070813522,0.9523176237116039,0.9986510173743306
5.819397993311042,3.89254686180643,2.5072929983419394,1.1074531381935722,2.3852534688322313,0.1,0.4,0.9,0.9759755492325152,0.9541013875328925,0.996707824374215
5.919732441471577,3.8945514329885125,2.505197748327862,1.1054485670114897,2.389353290028019,0.1,0.4,0.9,0.975662148066987,0.9557413160112077,0.9949037103103407
6.020066889632113,3.8964112054051374,2.503289907034155,1.1035887945948648,2.39312090373778,0.1,0.4,0.9,0.9753846844145466,0.9572483614951119,0.9932299151353784
6.120401337792648,3.8981354223826123,2.501553226787263,1.1018645776173905,2.3965818009618958,0.1,0.4,0.9,0.9751393244314955,0.9586327203847583,0.9916781198556515
6.220735785953184,3.8997328905964173,2.4999728573712305,1.1002671094035854,2.399759638591631,0.1,0.4,0.9,0.9749226377488894,0.9599038554366525,0.9902403984632269
6.321070234113719,3.9012119748308436,2.4985351914356007,1.098788025169159,2.4026763887619507,0.1,0.4,0.9,0.9747315408364841,0.9610705555047803,0.9889092226522432
6.421404682274255,3.9025806247846946,2.4972278317390546,1.097419375215308,2.405352398413185,0.1,0.4,0.9,0.9745632951817929,0.962140959365274,0.9876774376937772
6.52173913043479,3.9038462537629113,2.4960392316900513,1.0961537462370912,2.4078066274413255,0.1,0.4,0.9,0.9744153403878463,0.9631226509765303,0.9865383716133821
6.622073578595326,3.9050159057605462,2.4949589143695654,1.0949840942394564,2.4100565967602785,0.1,0.4,0.9,0.9742854244832219,0.9640226387041114,0.9854856848155108
6.722408026755861,3.906096391341281,2.493977625370508,1.0939036086587215,2.412118371341765,0.1,0.4,0.9,0.9741717002545638,0.964847348536706,0.9845132477928493
6.822742474916397,3.907093784143029,2.4930862396226887,1.0929062158569736,2.4140071498928304,0.1,0.4,0.9,0.9740721750162326,0.9656028599571322,0.9836155942712762
6.923076923076932,3.9080138692965796,2.4922765495454433,1.091986130703423,2.415736925124446,0.1,0.4,0.9,0.9739851321746217,0.9662947700497784,0.9827875176330808
7.023411371237468,3.9088624475265963,2.4915418650737973,1.0911375524734066,2.417320187827465,0.1,0.4,0.9,0.9739094432827344,0.966928075130986,0.9820237972260659
7.123745819398003,3.9096444856532244,2.4908750016580847,1.090355514346778,2.418769089370833,0.1,0.4,0.9,0.9738435714683998,0.9675076357483333,0.9813199629121002
7.224080267558539,3.9103647402115236,2.490269581772236,1.0896352597884795,2.420094763815402,0.1,0.4,0.9,0.9737862366183448,0.9680379055261608,0.9806717338096316
7.324414715719074,3.911027948205459,2.489720658388577,1.0889720517945443,2.4213068951933843,0.1,0.4,0.9,0.9737367078182221,0.9685227580773538,0.9800748466150898
7.42474916387961,3.9116382520442183,2.489222781636852,1.0883617479557848,2.4224150757840133,0.1,0.4,0.9,0.9736939050510622,0.9689660303136054,0.9795255731602063
7.525083612040145,3.9121996103774195,2.4887711834918984,1.0878003896225836,2.4234280322621764,0.1,0.4,0.9,0.9736569654375555,0.9693712129048706,0.9790203506603253
7.625418060200681,3.9127157277151863,2.4883619167056334,1.0872842722848164,2.4243534163860123,0.1,0.4,0.9,0.9736252807741639,0.969741366554405,0.9785558450563347
7.725752508361216,3.913190062631003,2.4879910551893167,1.0868099373689994,2.425198612817884,0.1,0.4,0.9,0.9735981873081658,0.9700794451271536,0.9781289436320996
7.826086956521752,3.9136258490215736,2.487655032337612,1.0863741509784288,2.4259704220599865,0.1,0.4,0.9,0.9735751038005076,0.9703881688239946,0.977736735880586
7.926421404682287,3.9140260351240133,2.487350741873463,1.0859739648759896,2.4266748986264317,0.1,0.4,0.9,0.9735555562177763,0.9706699594505728,0.9773765683883907
8.026755852842822,3.914393382392397,2.487075292515272,1.0856066176076058,2.4273176952528925,0.1,0.4,0.9,0.9735391066533415,0.9709270781011571,0.9770459558468453
8.127090301003356,3.9147304781871,2.486825970572559,1.0852695218129027,2.427904112990267,0.1,0.4,0.9,0.9735253420947614,0.9711616451961069,0.9767425696316124
8.227424749163891,3.915039690775408,2.486600403994937,1.0849603092245943,2.428438892156237,0.1,0.4,0.9,0.9735139276738344,0.9713755568624949,0.9764642783021349
8.327759197324426,3.9153232051752487,2.4863964436865125,1.0846767948247535,2.4289263668646157,0.1,0.4,0.9,0.9735045693231017,0.9715705467458463,0.9762091153422782
8.42809364548496,3.9155830596010457,2.486211989489242,1.0844169403989565,2.429370675487793,0.1,0.4,0.9,0.973496954862109,0.9717482701951172,0.9759752463590609
8.528428093645495,3.91582113395278,2.4860452179559878,1.0841788660472218,2.4297755213728642,0.1,0.4,0.9,0.9734908404434303,0.9719102085491458,0.9757609794424996
8.62876254180603,3.916039171469811,2.4858945794178866,1.0839608285301914,2.43014419742812,0.1,0.4,0.9,0.9734860549144916,0.9720576789712481,0.9755647456771722
8.729096989966564,3.916238783498992,2.4857584554012946,1.0837612165010104,2.430479933473978,0.1,0.4,0.9,0.97348236694531,0.9721919733895913,0.9753850948509094
8.829431438127099,3.9164214615665642,2.4856354464648422,1.0835785384334384,2.430785620478032,0.1,0.4,0.9,0.9734796008165497,0.9723142481912128,0.9752206845900946
8.929765886287633,3.916588567457631,2.485524427690961,1.0834114325423712,2.431063745142984,0.1,0.4,0.9,0.973477655763109,0.9724254980571937,0.9750702892881341
9.030100334448168,3.9167413933521718,2.485424190853844,1.0832586066478307,2.431316807874621,0.1,0.4,0.9,0.973476380835608,0.9725267231498483,0.9749327459830477
9.130434782608702,3.916881131189176,2.4853336878612167,1.0831188688108264,2.431547048704232,0.1,0.4,0.9,0.9734756626692409,0.9726188194816928,0.9748069819297438
9.230769230769237,3.9170088171998665,2.4852520662346493,1.082991182800136,2.431756356341427,0.1,0.4,0.9,0.9734754256405309,0.9727025425365708,0.9746920645201224
9.331103678929772,3.917125483549366,2.485178445290188,1.0828745164506366,2.431946643635329,0.1,0.4,0.9,0.9734755819213791,0.9727786574541316,0.974587064805573
9.431438127090306,3.9172320704633083,2.4851120481586144,1.082767929536694,2.432119627680816,0.1,0.4,0.9,0.9734760613741682,0.9728478510723264,0.9744911365830247
9.53177257525084,3.917329379142794,2.4850522246078994,1.0826706208572083,2.432276759910984,0.1,0.4,0.9,0.9734768088160682,0.9729107039643936,0.9744035587714875
9.632107023411375,3.917418209019447,2.4849983273678395,1.082581790980555,2.432419487027678,0.1,0.4,0.9,0.9734777697013645,0.9729677948110713,0.9743236118824996
9.73244147157191,3.9174992848554173,2.4849497715976505,1.0825007151445847,2.4325491186338324,0.1,0.4,0.9,0.9734788953135429,0.973019647453533,0.9742506436301263
9.832775919732445,3.9175732471452487,2.484906068433862,1.0824267528547535,2.4326667840874636,0.1,0.4,0.9,0.9734801535365379,0.9730667136349855,0.9741840775692782
9.93311036789298,3.9176406986524626,2.4848667440383734,1.08235930134754,2.4327735599901885,0.1,0.4,0.9,0.9734815087172763,0.9731094239960755,0.9741233712127861
10.033444816053514,3.917702199651701,2.4848313505277875,1.082297800348301,2.432870454500031,0.1,0.4,0.9,0.9734829247726221,0.9731481818000124,0.974068020313471
10.133779264214049,3.917758252663502,2.4847995182901452,1.0822417473365,2.4329583397494914,0.1,0.4,0.9,0.9734843818995512,0.9731833358997966,0.97401757260285
10.234113712374583,3.9178093205112123,2.484770910094142,1.0821906794887899,2.4330380157932257,0.1,0.4,0.9,0.9734858630901957,0.9732152063172903,0.973971611539911
10.334448160535118,3.9178558392765037,2.484745186668794,1.0821441607234987,2.4331102579838775,0.1,0.4,0.9,0.9734873438704521,0.973244103193551,0.9739297446511489
10.434782608695652,3.9178981999102813,2.4847220657390783,1.0821018000897211,2.433175739547374,0.1,0.4,0.9,0.973488810863649,0.9732702958189496,0.973891620080749
10.535117056856187,3.917936754206362,2.4847013087695062,1.0820632457936405,2.433235050813025,0.1,0.4,0.9,0.9734902580852699,0.9732940203252101,0.9738569212142765
10.635451505016722,3.917971844733003,2.4846826661619836,1.0820281552669992,2.4332887839471846,0.1,0.4,0.9,0.9734916729118784,0.9733155135788739,0.9738253397402994
10.735785953177256,3.9180037771174154,2.484665926266974,1.081996222882587,2.4333374562266012,0.1,0.4,0.9,0.9734930483988946,0.9733349824906405,0.9737966005943284
10.83612040133779,3.9180328133836317,2.484650914065656,1.0819671866163705,2.4333815046941245,0.1,0.4,0.9,0.9734943811112874,0.9733526018776498,0.9737704679547334
10.936454849498325,3.9180592202649343,2.484637449226658,1.081940779735068,2.433421376414415,0.1,0.4,0.9,0.9734956666958055,0.973368550565766,0.9737467017615612
11.03678929765886,3.9180832346919443,2.4846253749826857,1.0819167653080584,2.433457465085392,0.1,0.4,0.9,0.9734969026209848,0.973382986034157,0.9737250887772525
11.137123745819395,3.918105054234818,2.4846145621574567,1.0818949457651843,2.4334900974534897,0.1,0.4,0.9,0.9734980873814562,0.9733960389813959,0.9737054511886659
11.23745819397993,3.918124881634541,2.4846048782376267,1.0818751183654614,2.433519608773041,0.1,0.4,0.9,0.9734992194453406,0.9734078435092164,0.9736876065289153
