Time,A,B,C,comp,k1,k2,_J0,_J1
1.9095477386934674,9.933388672560081,0.06648415044702065,0.00012717699365655513,100,0.35,0.2,3.4766860353960283,0.01329683008940413
2.0100502512562817,9.929895130216375,0.06996397938077924,0.00014089040371957143,100,0.35,0.2,3.475463295575731,0.013992795876155848
2.1105527638190957,9.926402816544527,0.07344188036998622,0.00015530308646282613,100,0.35,0.2,3.4742409857905843,0.014688376073997245
2.21105527638191,9.922911731110624,0.07691785423759662,0.00017041465282556165,100,0.35,0.2,3.473019105888718,0.015383570847519325
2.311557788944724,9.919421873480216,0.08039190180755423,0.00018622471330040268,100,0.35,0.2,3.4717976557180754,0.01607838036151085
2.412060301507538,9.915933243234525,0.08386402387405308,0.00020273289249782096,100,0.35,0.2,3.4705766351320837,0.016772804774810617
2.512562814070352,9.912445839935875,0.08733422126711848,0.00021993879806137543,100,0.35,0.2,3.469356043977556,0.017466844253423697
2.613065326633166,9.908959663150743,0.09080249480887831,0.0002378420413954119,100,0.35,0.2,3.46813588210276,0.018160498961775663
2.71356783919598,9.905474712443677,0.09426884532509078,0.0002564422322013589,100,0.35,0.2,3.4669161493552867,0.018853769065018157
2.814070351758794,9.901990987376832,0.09773327364605584,0.0002757389780461621,100,0.35,0.2,3.465696845581891,0.01954665472921117
2.9145728643216082,9.898508487523513,0.10119578058081431,0.0002957318965648535,100,0.35,0.2,3.4644779706332294,0.020239156116162865
3.0150753768844223,9.895027212486331,0.10465636688262638,0.0003164206317875608,100,0.35,0.2,3.463259524370216,0.020931273376525276
3.1155778894472363,9.891547161808225,0.10811503341825233,0.0003378047740745575,100,0.35,0.2,3.4620415066328785,0.02162300668365047
3.2160804020100504,9.8880683350536,0.11157178101355371,0.0003598839331415976,100,0.35,0.2,3.4608239172687596,0.022314356202710744
3.3165829145728645,9.884590731784506,0.11502661049886,0.00038265771660237635,100,0.35,0.2,3.459606756124577,0.023005322099772
